common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common
Swainson’s Thrush,http://app.bto.org/birdfacts/results/bob11770.htm,Catharus ustulatus,Accidental,10 - 100 Records,,SWATH,31.622776601683803
Hermit Thrush,http://app.bto.org/birdfacts/results/bob11760.htm,Catharus guttatus,Accidental,10 - 100 Records,,HERTH,31.622776601683803
Wood Thrush,http://app.bto.org/birdfacts/results/bob11750.htm,Hylocichla mustelina,Accidental,1-10 Records,,,3.1622776601683795
Ring Ouzel,http://app.bto.org/birdfacts/results/bob11860.htm,Turdus torquatus,"Migrant Breeder, Passage Visitor",1000 - 10000 Territories,RZ,RINOU,3162.2776601683804
Blackbird,http://app.bto.org/birdfacts/results/bob11870.htm,Turdus merula,"Migrant/Resident Breeder, Passage/Winter Visitor",4.9E06 Pairs,B.,BLABI,4900000.0
Eyebrowed Thrush,http://app.bto.org/birdfacts/results/bob11950.htm,Turdus obscurus,Accidental,10 - 100 Records,,EYBTH,31.622776601683803
Black-throated Thrush,http://app.bto.org/birdfacts/results/bob11972.htm,Turdus atrogularis,Accidental,10 - 100 Records,XC,BLTTH,31.622776601683803
Red-throated Thrush,http://app.bto.org/birdfacts/results/bob11971.htm,Turdus ruficollis,Accidental,1-10 Records,,RETTH,3.1622776601683795
Naumann's Thrush,http://app.bto.org/birdfacts/results/bob11961.htm,Turdus naumanni,Accidental,1-10 Records,,,3.1622776601683795
Dusky Thrush,http://app.bto.org/birdfacts/results/bob11962.htm,Turdus eunomus,Accidental,10 - 100 Records,,DUSTH,31.622776601683803
Fieldfare,http://app.bto.org/birdfacts/results/bob11980.htm,Turdus pilaris,"Scarce Breeder, Passage/Winter Visitor",500000 - 1E06 Birds,FF,FIELD,707106.7811865465
Redwing,http://app.bto.org/birdfacts/results/bob12010.htm,Turdus iliacus,"Migrant/Resident Breeder, Passage/Winter Visitor",500000 - 1E06 Birds,RE,REDWI,707106.7811865465
Song Thrush,http://app.bto.org/birdfacts/results/bob12000.htm,Turdus philomelos,"Migrant/Resident Breeder, Passage/Winter Visitor",1.1E06 Territories,ST,SONTH,1100000.0
Mistle Thrush,http://app.bto.org/birdfacts/results/bob12020.htm,Turdus viscivorus,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Territories,M.,MISTH,223606.79774997893
American Robin,http://app.bto.org/birdfacts/results/bob12030.htm,Turdus migratorius,Accidental,10 - 100 Records,AR,AMERO,31.622776601683803
Rufous-tailed Scrub Robin,http://app.bto.org/birdfacts/results/bob10950.htm,Cercotrichas galactotes,Accidental,1-10 Records,,RUBRO,3.1622776601683795
Spotted Flycatcher,http://app.bto.org/birdfacts/results/bob13350.htm,Muscicapa striata,"Migrant Breeder, Passage Visitor",10000 - 100000 Territories,SF,SPOFL,31622.77660168378
Asian Brown Flycatcher,http://app.bto.org/birdfacts/results/bob99014.htm,Muscicapa dauurica,Accidental,1-10 Records,,,3.1622776601683795
Robin,http://app.bto.org/birdfacts/results/bob10990.htm,Erithacus rubecula,"Migrant/Resident Breeder, Passage/Winter Visitor",6E06 Territories,R.,ROBIN,6000000.0
Siberian Blue Robin,http://app.bto.org/birdfacts/results/bob11120.htm,Larvivora cyane,Accidental,1-10 Records,,,3.1622776601683795
Rufous-tailed Robin,http://app.bto.org/birdfacts/results/bob11020.htm,Larvivora sibilans,Accidental,1-10 Records,,RUTRO,3.1622776601683795
Bluethroat,http://app.bto.org/birdfacts/results/bob11060.htm,Luscinia svecica,"Scarce Breeder, Passage Visitor",10 - 100 Birds,BU,BLUTH,31.622776601683803
Thrush Nightingale,http://app.bto.org/birdfacts/results/bob11030.htm,Luscinia luscinia,Accidental,100-500 Records,FN,THRNI,223.606797749979
Nightingale,http://app.bto.org/birdfacts/results/bob11040.htm,Luscinia megarhynchos,"Migrant Breeder, Passage Visitor",1000 - 10000 Males,N.,NIGAL,3162.2776601683804
White-throated Robin,http://app.bto.org/birdfacts/results/bob11170.htm,Irania gutturalis,Accidental,1-10 Records,,WHTRO,3.1622776601683795
Siberian Rubythroat,http://app.bto.org/birdfacts/results/bob11050.htm,Calliope calliope,Accidental,10 - 100 Records,,SIBRU,31.622776601683803
Red-flanked Bluetail,http://app.bto.org/birdfacts/results/bob11130.htm,Tarsiger cyanurus,Scarce Visitor,100-500 Records,,REFBL,223.606797749979
Pied Flycatcher,http://app.bto.org/birdfacts/results/bob13490.htm,Ficedula hypoleuca,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,PF,PIEFL,31622.77660168378
Collared Flycatcher,http://app.bto.org/birdfacts/results/bob13480.htm,Ficedula albicollis,Accidental,10 - 100 Records,,COLFL,31.622776601683803
Red-breasted Flycatcher,http://app.bto.org/birdfacts/results/bob13430.htm,Ficedula parva,Scarce Visitor,100-500 Birds,FY,REBFL,223.606797749979
Taiga Flycatcher,http://app.bto.org/birdfacts/results/bob13432.htm,Ficedula albicilla,Accidental,1-10 Records,,TAIFL,3.1622776601683795
Black Redstart,http://app.bto.org/birdfacts/results/bob11210.htm,Phoenicurus ochruros,"Migrant/Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,BX,BLARE,31.622776601683803
Redstart,http://app.bto.org/birdfacts/results/bob11220.htm,Phoenicurus phoenicurus,"Migrant Breeder, Passage Visitor",100000 - 500000 Pairs,RT,REDST,223606.79774997893
Moussier’s Redstart,http://app.bto.org/birdfacts/results/bob11270.htm,Phoenicurus moussieri,Accidental,1-10 Records,,MOURE,3.1622776601683795
Rock Thrush,http://app.bto.org/birdfacts/results/bob11620.htm,Monticola saxatilis,Accidental,10 - 100 Records,OH,ROCTH,31.622776601683803
Blue Rock Thrush,http://app.bto.org/birdfacts/results/bob11660.htm,Monticola solitarius,Accidental,1-10 Records,,BLRTH,3.1622776601683795
Whinchat,http://app.bto.org/birdfacts/results/bob11370.htm,Saxicola rubetra,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,WC,WHINC,31622.77660168378
Stonechat,http://app.bto.org/birdfacts/results/bob11393.htm,Saxicola rubicola,Migrant/Resident Breeder,10000 - 100000 Pairs,SC,STOCH,31622.77660168378
Siberian Stonechat,http://app.bto.org/birdfacts/results/bob11394.htm,Saxicola maurus,Accidental,100-500 Records,,,223.606797749979
Stejneger's Stonechat,http://app.bto.org/birdfacts/results/bob11392.htm,Saxicola stejnegeri,Accidental,1-10 Records,,,3.1622776601683795
Wheatear,http://app.bto.org/birdfacts/results/bob11460.htm,Oenanthe oenanthe,"Migrant Breeder, Passage Visitor",100000 - 500000 Pairs,W.,WHEAT,223606.79774997893
Isabelline Wheatear,http://app.bto.org/birdfacts/results/bob11440.htm,Oenanthe isabellina,Accidental,10 - 100 Records,,ISAWH,31.622776601683803
Desert Wheatear,http://app.bto.org/birdfacts/results/bob11490.htm,Oenanthe deserti,Accidental,100-500 Records,,DESWH,223.606797749979
Black-eared Wheatear,http://app.bto.org/birdfacts/results/bob11480.htm,Oenanthe hispanica,Scarce Visitor,10 - 100 Records,,BLEWH,31.622776601683803
Pied Wheatear,http://app.bto.org/birdfacts/results/bob11470.htm,Oenanthe pleschanka,Accidental,10 - 100 Records,PI,PIEWH,31.622776601683803
White-crowned Black Wheatear,http://app.bto.org/birdfacts/results/bob11570.htm,Oenanthe leucopyga,Accidental,1-10 Records,,WHCBL,3.1622776601683795
Dipper,http://app.bto.org/birdfacts/results/bob10500.htm,Cinclus cinclus,Resident Breeder,10000 - 100000 Pairs,DI,DIPPE,31622.77660168378
House Sparrow,http://app.bto.org/birdfacts/results/bob15910.htm,Passer domesticus,Resident Breeder,5.1E06 Pairs,HS,HOUSP,5100000.0
Spanish Sparrow,http://app.bto.org/birdfacts/results/bob15920.htm,Passer hispaniolensis,Accidental,10 - 100 Records,,SPASP,31.622776601683803
Tree Sparrow,http://app.bto.org/birdfacts/results/bob15980.htm,Passer montanus,"Resident Breeder, Passage Visitor",100000 - 500000 Territories,TS,TRESP,223606.79774997893
Rock Sparrow,http://app.bto.org/birdfacts/results/bob16040.htm,Petronia petronia,Accidental,1-10 Records,,ROCSP,3.1622776601683795
Alpine Accentor,http://app.bto.org/birdfacts/results/bob10940.htm,Prunella collaris,Accidental,10 - 100 Records,,ALPAC,31.622776601683803
Siberian Accentor,http://app.bto.org/birdfacts/results/bob10860.htm,Prunella montanella,Accidental,10 - 100 Records,,,31.622776601683803
Dunnock,http://app.bto.org/birdfacts/results/bob10840.htm,Prunella modularis,"Resident Breeder, Passage/Winter Visitor",2.3E06 Territories,D.,DUNNO,2300000.0
Yellow Wagtail,http://app.bto.org/birdfacts/results/bob10170.htm,Motacilla flava,"Migrant Breeder, Passage Visitor",10000 - 100000 Territories,YW,YELWA,31622.77660168378
Eastern Yellow Wagtail,http://app.bto.org/birdfacts/results/bob10239.htm,Motacilla tschutschensis,Accidental,1-10 Records,,,3.1622776601683795
Citrine Wagtail,http://app.bto.org/birdfacts/results/bob10180.htm,Motacilla citreola,Scarce Visitor,10 - 100 Birds,IZ,CITWA,31.622776601683803
