common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common,scientific_name_lower_bl,wiki_status,scientific_name_lower_wiki,inaturalist_id,inaturalist_scientific_name,inaturalist_common_name
Citrine Wagtail,http://app.bto.org/birdfacts/results/bob10180.htm,Motacilla citreola,Scarce Visitor,10 - 100 Birds,IZ,CITWA,31.622776601683803,motacilla citreola,A rare vagrant,motacilla citreola,13687,Motacilla citreola,Citrine Wagtail
Grey Wagtail,http://app.bto.org/birdfacts/results/bob10190.htm,Motacilla cinerea,"Resident Breeder, Passage Visitor",10000 - 100000 Pairs,GL,GREWA,31622.776601683774,motacilla cinerea,A resident breeding species,motacilla cinerea,13688,Motacilla cinerea,Grey Wagtail
Pied Wagtail,http://app.bto.org/birdfacts/results/bob10200.htm,Motacilla alba,"Migrant/Resident Breeder, Passage Visitor",100000 - 500000 Pairs,PW,PIEWA,223606.7977499789,motacilla alba,,,366951,Motacilla alba yarrellii,Pied Wagtail
Richard’s Pipit,http://app.bto.org/birdfacts/results/bob10020.htm,Anthus richardi,Scarce Visitor,100-500 Birds,PR,RICPI,223.606797749979,anthus richardi,,,13726,Anthus richardi,Richard's Pipit
Blyth’s Pipit,http://app.bto.org/birdfacts/results/bob10040.htm,Anthus godlewskii,Accidental,10 - 100 Records,,BLYPI,31.622776601683803,anthus godlewskii,,,13737,Anthus godlewskii,Blyth's Pipit
Tawny Pipit,http://app.bto.org/birdfacts/results/bob10050.htm,Anthus campestris,Accidental,10 - 100 Birds,TI,TAWPI,31.622776601683803,anthus campestris,A scarce migrant,anthus campestris,13712,Anthus campestris,Tawny Pipit
Meadow Pipit,http://app.bto.org/birdfacts/results/bob10110.htm,Anthus pratensis,"Migrant/Resident Breeder, Passage/Winter Visitor",1.9E06 Pairs,MP,MEAPI,1900000.0,anthus pratensis,A resident breeding species,anthus pratensis,13729,Anthus pratensis,Meadow Pipit
Tree Pipit,http://app.bto.org/birdfacts/results/bob10090.htm,Anthus trivialis,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,TP,TREPI,31622.776601683774,anthus trivialis,A breeding summer visitor,anthus trivialis,13711,Anthus trivialis,Tree Pipit
Olive-backed Pipit,http://app.bto.org/birdfacts/results/bob10080.htm,Anthus hodgsoni,Scarce Visitor,10 - 100 Birds,OV,OLBPI,31.622776601683803,anthus hodgsoni,A rare vagrant,anthus hodgsoni,13724,Anthus hodgsoni,Olive-backed Pipit
Pechora Pipit,http://app.bto.org/birdfacts/results/bob10100.htm,Anthus gustavi,Scarce Visitor,100-500 Records,,PECPI,223.606797749979,anthus gustavi,A rare vagrant,anthus gustavi,13727,Anthus gustavi,Pechora Pipit
Red-throated Pipit,http://app.bto.org/birdfacts/results/bob10120.htm,Anthus cervinus,Accidental,500 - 1000 Records,VP,RETPI,707.1067811865472,anthus cervinus,A scarce migrant,anthus cervinus,13721,Anthus cervinus,Red-throated Pipit
Buff-bellied Pipit,http://app.bto.org/birdfacts/results/bob10144.htm,Anthus rubescens,Accidental,10 - 100 Records,,AMEPI,31.622776601683803,anthus rubescens,A rare vagrant,anthus rubescens,518585,Anthus rubescens japonicus,Buff-bellied Pipit
Water Pipit,http://app.bto.org/birdfacts/results/bob10141.htm,Anthus spinoletta,Passage/Winter Visitor,100-500 Birds,WI,WATPI,223.606797749979,anthus spinoletta,A winter visitor,anthus spinoletta,13713,Anthus spinoletta,Water Pipit
Rock Pipit,http://app.bto.org/birdfacts/results/bob10142.htm,Anthus petrosus,"Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,RC,ROCPI,31622.776601683774,anthus petrosus,A resident breeding species,anthus petrosus,13734,Anthus petrosus,Rock Pipit
Chaffinch,http://app.bto.org/birdfacts/results/bob16360.htm,Fringilla coelebs,"Resident Breeder, Passage/Winter Visitor",5.8E06 Territories,CH,CHAFF,5800000.0,fringilla coelebs,,,10070,Fringilla coelebs,Common Chaffinch
Brambling,http://app.bto.org/birdfacts/results/bob16380.htm,Fringilla montifringilla,"Scarce Breeder, Passage/Winter Visitor",100000 - 500000 Birds,BL,BRAMB,223606.7977499789,fringilla montifringilla,"A winter visitor, occasional breeder",fringilla montifringilla,10069,Fringilla montifringilla,Brambling
Evening Grosbeak,http://app.bto.org/birdfacts/results/bob17180.htm,Hesperiphona vespertina,Accidental,1-10 Records,,EVEGR,3.1622776601683795,hesperiphona vespertina,A rare vagrant,hesperiphona vespertinua,9800,Coccothraustes vespertinus,Evening Grosbeak
Hawfinch,http://app.bto.org/birdfacts/results/bob17170.htm,Coccothraustes coccothraustes,"Resident Breeder, Passage Visitor",500 - 1000 Pairs,HF,HAWFI,707.1067811865472,coccothraustes coccothraustes,A scarce resident breeding species,coccothraustes coccothraustes,9801,Coccothraustes coccothraustes,Hawfinch
Pine Grosbeak,http://app.bto.org/birdfacts/results/bob16990.htm,Pinicola enucleator,Accidental,1-10 Records,,PINGR,3.1622776601683795,pinicola enucleator,A rare vagrant,pinicola enucleator,9771,Pinicola enucleator,Pine Grosbeak
Bullfinch,http://app.bto.org/birdfacts/results/bob17100.htm,Pyrrhula pyrrhula,"Resident Breeder, Scarce Visitor",100000 - 500000 Territories,BF,BULLF,223606.7977499789,pyrrhula pyrrhula,,,9462,Pyrrhula pyrrhula,Eurasian Bullfinch
Trumpeter Finch,http://app.bto.org/birdfacts/results/bob16760.htm,Bucanetes githagineus,Accidental,10 - 100 Records,,TRUFI,31.622776601683803,bucanetes githagineus,A rare vagrant,bucanetes githagineus,72572,Bucanetes githagineus,Trumpeter Finch
Common Rosefinch,http://app.bto.org/birdfacts/results/bob16790.htm,Carpodacus erythrinus,"Scarce Breeder, Passage Visitor",100-500 Birds,SQ,SCARO,223.606797749979,carpodacus erythrinus,"A scarce migrant, occasional breeder",erythrina erythrinus,9639,Carpodacus erythrinus,Common Rosefinch
Greenfinch,http://app.bto.org/birdfacts/results/bob16490.htm,Chloris chloris,"Resident Breeder, Winter Visitor",1.7E06 Pairs,GR,GREFI,1700000.0,chloris chloris,,,145360,Chloris chloris,European Greenfinch
Twite,http://app.bto.org/birdfacts/results/bob16620.htm,Linaria flavirostris,"Migrant/Resident Breeder, Winter Visitor",1000 - 10000 Pairs,TW,TWITE,3162.277660168381,linaria flavirostris,A resident breeding species,linaria flavirostris,558633,Linaria flavirostris,Twite
Linnet,http://app.bto.org/birdfacts/results/bob16600.htm,Linaria cannabina,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Territories,LI,LINNE,223606.7977499789,linaria cannabina,,,558634,Linaria cannabina,Eurasian Linnet
Common Redpoll,http://app.bto.org/birdfacts/results/bob16631.htm,Acanthis flammea,"Scarce Breeder, Passage/Winter Visitor",100-500 Birds,FR,COMRE,223.606797749979,acanthis flammea,,,145300,Acanthis flammea,Common Redpoll
Lesser Redpoll,http://app.bto.org/birdfacts/results/bob16634.htm,Acanthis cabaret,Migrant/Resident Breeder,100000 - 500000 Pairs,LR,LESRE,223606.7977499789,acanthis cabaret,A resident breeding species,acanthis cabaret,145301,Acanthis cabaret,Lesser Redpoll
Arctic Redpoll,http://app.bto.org/birdfacts/results/bob16640.htm,Acanthis hornemanni,Scarce Visitor,10 - 100 Birds,AL,ARCRE,31.622776601683803,acanthis hornemanni,A scarce migrant,acanthis hornemanni,145302,Acanthis hornemanni,Hoary Redpoll
Parrot Crossbill,http://app.bto.org/birdfacts/results/bob16680.htm,Loxia pytyopsittacus,"Scarce Visitor, Occasional Breeder",100-500 Records,PC,PARCR,223.606797749979,loxia pytyopsittacus,A resident breeding species,loxia pytyopsittacus,10420,Loxia pytyopsittacus,Parrot Crossbill
Scottish Crossbill,http://app.bto.org/birdfacts/results/bob16670.htm,Loxia scotica,Endemic Breeder,1000 - 10000 Pairs,CY,SCOCR,3162.277660168381,loxia scotica,A resident endemic breeding species,loxia scotica,10421,Loxia scotica,Scottish Crossbill
Common Crossbill,http://app.bto.org/birdfacts/results/bob16660.htm,Loxia curvirostra,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,CR,CROSS,31622.776601683774,loxia curvirostra,A resident breeding species,loxia curvirostra,10411,Loxia curvirostra,Red Crossbill
Two-barred Crossbill,http://app.bto.org/birdfacts/results/bob16650.htm,Loxia leucoptera,Scarce Visitor,100-500 Records,PD,TWBCR,223.606797749979,loxia leucoptera,A rare vagrant,loxia leucoptera,525501,Loxia leucoptera bifasciata,Two-barred Crossbill
Goldfinch,http://app.bto.org/birdfacts/results/bob16530.htm,Carduelis carduelis,Migrant/Resident Breeder,1.2E06 Pairs,GO,GOLDF,1200000.0,carduelis carduelis,,,9398,Carduelis carduelis,European Goldfinch
Citril Finch,http://app.bto.org/birdfacts/results/bob16440.htm,Carduelis citrinella,Accidental,1-10 Records,,CITFI,3.1622776601683795,carduelis citrinella,A rare vagrant,carduelis citrinella,9237,Carduelis citrinella,Citril Finch
Serin,http://app.bto.org/birdfacts/results/bob16400.htm,Serinus serinus,"Scarce Visitor, Has bred",10 - 100 Birds,NS,SERIN,31.622776601683803,serinus serinus,,,9236,Serinus serinus,European Serin
Siskin,http://app.bto.org/birdfacts/results/bob16540.htm,Spinus spinus,"Resident Breeder, Passage/Winter Visitor",100000 - 500000 Pairs,SK,SISKI,223606.7977499789,spinus spinus,,,145303,Spinus spinus,Eurasian Siskin
Lapland Bunting,http://app.bto.org/birdfacts/results/bob18470.htm,Calcarius lapponicus,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,LA,LAPBU,707.1067811865472,calcarius lapponicus,"A winter visitor, occasional breeder",calcarius lapponicus,116840,Calcarius lapponicus,Lapland Longspur
Snow Bunting,http://app.bto.org/birdfacts/results/bob18500.htm,Plectrophenax nivalis,"Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,SB,SNOBU,31.622776601683803,plectrophenax nivalis,A winter visitor & scarce breeder,plectrophenax nivalis,117059,Plectrophenax nivalis,Snow Bunting
Corn Bunting,http://app.bto.org/birdfacts/results/bob18820.htm,Emberiza calandra,"Resident Breeder, Passage Visitor",10000 - 100000 Territories,CB,CORBU,31622.776601683774,emberiza calandra,A resident breeding species,emberiza calandra,145291,Emberiza calandra,Corn Bunting
Yellowhammer,http://app.bto.org/birdfacts/results/bob18570.htm,Emberiza citrinella,"Resident Breeder, Passage/Winter Visitor",500000 - 1E06 Territories,Y.,YELHA,707106.7811865465,emberiza citrinella,A resident breeding species,emberiza citrinella,9195,Emberiza citrinella,Yellowhammer
Pine Bunting,http://app.bto.org/birdfacts/results/bob18560.htm,Emberiza leucocephalos,Accidental,10 - 100 Records,EL,PINBU,31.622776601683803,emberiza leucocephalos,A rare vagrant,emberiza leucocephalos,9210,Emberiza leucocephalos,Pine Bunting
Rock Bunting,http://app.bto.org/birdfacts/results/bob18600.htm,Emberiza cia,Accidental,1-10 Records,,ROCBU,3.1622776601683795,emberiza cia,A rare vagrant,emberiza cia,9193,Emberiza cia,Rock Bunting
Ortolan Bunting,http://app.bto.org/birdfacts/results/bob18660.htm,Emberiza hortulana,Scarce Visitor,10 - 100 Birds,OB,ORTBU,31.622776601683803,emberiza hortulana,A scarce migrant,emberiza hortulana,9196,Emberiza hortulana,Ortolan Bunting
Cretzschmar’s Bunting,http://app.bto.org/birdfacts/results/bob18680.htm,Emberiza caesia,Accidental,1-10 Records,,CREBU,3.1622776601683795,emberiza caesia,,,9211,Emberiza caesia,Cretzschmar's Bunting
Cirl Bunting,http://app.bto.org/birdfacts/results/bob18580.htm,Emberiza cirlus,Resident Breeder,1000 - 10000 Territories,CL,CIRBU,3162.277660168381,emberiza cirlus,A resident breeding species,emberiza cirlus,9192,Emberiza cirlus,Cirl Bunting
Chestnut-eared Bunting,http://app.bto.org/birdfacts/results/bob18690.htm,Emberiza fucata,Accidental,1-10 Records,,CHABU,3.1622776601683795,emberiza fucata,A rare vagrant,emberiza fucata,9198,Emberiza fucata,Chestnut-eared Bunting
Little Bunting,http://app.bto.org/birdfacts/results/bob18740.htm,Emberiza pusilla,Scarce Visitor,10 - 100 Birds,LJ,LITBU,31.622776601683803,emberiza pusilla,A scarce migrant,emberiza pusilla,9197,Emberiza pusilla,Little Bunting
Yellow-browed Bunting,http://app.bto.org/birdfacts/results/bob18710.htm,Emberiza chrysophrys,Accidental,1-10 Records,,YEBBU,3.1622776601683795,emberiza chrysophrys,A rare vagrant,emberiza chrysophrys,9187,Emberiza chrysophrys,Yellow-browed Bunting
Rustic Bunting,http://app.bto.org/birdfacts/results/bob18730.htm,Emberiza rustica,Accidental,500 - 1000 Records,,RUSBU,707.1067811865472,emberiza rustica,A scarce migrant,emberiza rustica,9188,Emberiza rustica,Rustic Bunting
Yellow-breasted Bunting,http://app.bto.org/birdfacts/results/bob18760.htm,Emberiza aureola,Accidental,100-500 Records,YO,YBSBU,223.606797749979,emberiza aureola,A rare vagrant,emberiza aureola,9212,Emberiza aureola,Yellow-breasted Bunting
Chestnut Bunting,http://app.bto.org/birdfacts/results/bob18750.htm,Emberiza rutila,Accidental,1-10 Records,,,3.1622776601683795,emberiza rutila,A rare vagrant,emberiza rutila,9206,Emberiza rutila,Chestnut Bunting
Black-headed Bunting,http://app.bto.org/birdfacts/results/bob18810.htm,Emberiza melanocephala,Accidental,100-500 Records,,BLHBU,223.606797749979,emberiza melanocephala,A rare vagrant,emberiza melanocephala,9203,Emberiza melanocephala,Black-headed Bunting
Black-faced Bunting,http://app.bto.org/birdfacts/results/bob18530.htm,Emberiza spodocephala,Accidental,1-10 Records,,,3.1622776601683795,emberiza spodocephala,A rare vagrant,emberiza spodocephala,9204,Emberiza spodocephala,Black-faced Bunting
Pallas’s Reed Bunting,http://app.bto.org/birdfacts/results/bob18780.htm,Emberiza pallasi,Accidental,1-10 Records,,PARBU,3.1622776601683795,emberiza pallasi,,,9191,Emberiza pallasi,Pallas's Bunting
Reed Bunting,http://app.bto.org/birdfacts/results/bob18770.htm,Emberiza schoeniclus,"Resident Breeder, Passage/Winter Visitor",100000 - 500000 Territories,RB,REEBU,223606.7977499789,emberiza schoeniclus,A resident breeding species,emberiza schoeniclus,9201,Emberiza schoeniclus,Reed Bunting
Song Sparrow,http://app.bto.org/birdfacts/results/bob18350.htm,Melospiza melodia,Accidental,1-10 Records,,SONSP,3.1622776601683795,melospiza melodia,A rare vagrant,melospiza melodia,9100,Melospiza melodia,Song Sparrow
White-crowned Sparrow,http://app.bto.org/birdfacts/results/bob18390.htm,Zonotrichia leucophrys,Accidental,1-10 Records,,WHCSP,3.1622776601683795,zonotrichia leucophrys,A rare vagrant,zonotrichia leucophrys,9176,Zonotrichia leucophrys,White-crowned Sparrow
White-throated Sparrow,http://app.bto.org/birdfacts/results/bob18400.htm,Zonotrichia albicollis,Accidental,10 - 100 Records,,WHTSP,31.622776601683803,zonotrichia albicollis,A rare vagrant,zonotrichia albicollis,9184,Zonotrichia albicollis,White-throated Sparrow
Dark-eyed Junco,http://app.bto.org/birdfacts/results/bob18420.htm,Junco hyemalis,Accidental,10 - 100 Records,JU,DAEJU,31.622776601683803,junco hyemalis,A rare vagrant,junco hyemalis,10094,Junco hyemalis,Dark-eyed Junco
Savannah Sparrow,http://app.bto.org/birdfacts/results/bob18260.htm,Passerculus sandwichensis,Accidental,1-10 Records,,SAVSP,3.1622776601683795,passerculus sandwichensis,A rare vagrant,passerculus sandwichensis,9981,Passerculus sandwichensis,Savannah Sparrow
Lark Sparrow,http://app.bto.org/birdfacts/results/bob18240.htm,Chondestes grammacus,Accidental,1-10 Records,,LARSP,3.1622776601683795,chondestes grammacus,A rare vagrant,chondestes grammacus,10479,Chondestes grammacus,Lark Sparrow
Eastern Towhee,http://app.bto.org/birdfacts/results/bob17980.htm,Pipilo erythrophthalmus,Accidental,1-10 Records,,RUSTO,3.1622776601683795,pipilo erythrophthalmus,,,9424,Pipilo erythrophthalmus,Eastern Towhee
Bobolink,http://app.bto.org/birdfacts/results/bob18970.htm,Dolichonyx oryzivorus,Accidental,10 - 100 Records,,BOBOL,31.622776601683803,dolichonyx oryzivorus,A rare vagrant,dolichonyx oryzivorus,10487,Dolichonyx oryzivorus,Bobolink
Baltimore Oriole,http://app.bto.org/birdfacts/results/bob19180.htm,Icterus galbula,Accidental,10 - 100 Records,,NOROR,31.622776601683803,icterus galbula,A rare vagrant,icterus galbula,9346,Icterus galbula,Baltimore Oriole
Red-winged Blackbird,http://app.bto.org/birdfacts/results/bob19090.htm,Agelaius phoeniceus,Accidental,1-10 Records,,,3.1622776601683795,agelaius phoeniceus,A rare vagrant,agelaius phoeniceus,9744,Agelaius phoeniceus,Red-winged Blackbird
Brown-headed Cowbird,http://app.bto.org/birdfacts/results/bob18990.htm,Molothrus ater,Accidental,1-10 Records,,,3.1622776601683795,molothrus ater,A rare vagrant,molothrus ater,10373,Molothrus ater,Brown-headed Cowbird
Ovenbird,http://app.bto.org/birdfacts/results/bob17560.htm,Seiurus aurocapilla,Accidental,1-10 Records,,OVENB,3.1622776601683795,seiurus aurocapilla,A rare vagrant,seiurus aurocapilla,62550,Seiurus aurocapilla,Ovenbird
Northern Waterthrush,http://app.bto.org/birdfacts/results/bob17570.htm,Parkesia noveboracensis,Accidental,1-10 Records,,NORWA,3.1622776601683795,parkesia noveboracensis,A rare vagrant,parkesia noveboracensis,73149,Parkesia noveboracensis,Northern Waterthrush
Golden-winged Warbler,http://app.bto.org/birdfacts/results/bob17220.htm,Vermivora chrysoptera,Accidental,1-10 Records,,,3.1622776601683795,vermivora chrysoptera,A rare vagrant,vermivora chrysoptera,9807,Vermivora chrysoptera,Golden-winged Warbler
Black-and-white Warbler,http://app.bto.org/birdfacts/results/bob17200.htm,Mniotilta varia,Accidental,10 - 100 Records,,BAWWA,31.622776601683803,mniotilta varia,A rare vagrant,mniotilta varia,10286,Mniotilta varia,Black-and-white Warbler
Tennessee Warbler,http://app.bto.org/birdfacts/results/bob17240.htm,Leiothlypis peregrina,Accidental,1-10 Records,,TENWA,3.1622776601683795,leiothlypis peregrina,A rare vagrant,oreothlypis peregrina,979756,Leiothlypis peregrina,Tennessee Warbler
Common Yellowthroat,http://app.bto.org/birdfacts/results/bob17620.htm,Geothlypis trichas,Accidental,10 - 100 Records,,COMYE,31.622776601683803,geothlypis trichas,A rare vagrant,geothlypis trichas,9721,Geothlypis trichas,Common Yellowthroat
Hooded Warbler,http://app.bto.org/birdfacts/results/bob17710.htm,Setophaga citrina,Accidental,1-10 Records,,HOOWA,3.1622776601683795,setophaga citrina,A rare vagrant,setophaga citrina,145229,Setophaga citrina,Hooded Warbler
American Redstart,http://app.bto.org/birdfacts/results/bob17550.htm,Setophaga ruticilla,Accidental,1-10 Records,AD,AMERE,3.1622776601683795,setophaga ruticilla,A rare vagrant,setophaga ruticilla,10247,Setophaga ruticilla,American Redstart
Cape May Warbler,http://app.bto.org/birdfacts/results/bob17490.htm,Setophaga tigrina,Accidental,1-10 Records,,CAMWA,3.1622776601683795,setophaga tigrina,A rare vagrant,setophaga tigrina,145231,Setophaga tigrina,Cape May Warbler
Northern Parula,http://app.bto.org/birdfacts/results/bob17320.htm,Setophaga americana,Accidental,10 - 100 Records,,NORPA,31.622776601683803,setophaga americana,A rare vagrant,setophaga americana,145233,Setophaga americana,Northern Parula
Magnolia Warbler,http://app.bto.org/birdfacts/results/bob17500.htm,Setophaga magnolia,Accidental,1-10 Records,,MAGWA,3.1622776601683795,setophaga magnolia,A rare vagrant,setophaga magnolia,145235,Setophaga magnolia,Magnolia Warbler
Bay-breasted Warbler,http://app.bto.org/birdfacts/results/bob17540.htm,Setophaga castanea,Accidental,1-10 Records,,,3.1622776601683795,setophaga castanea,A rare vagrant,setophaga castanea,145236,Setophaga castanea,Bay-breasted Warbler
Blackburnian Warbler,http://app.bto.org/birdfacts/results/bob17470.htm,Setophaga fusca,Accidental,1-10 Records,,,3.1622776601683795,setophaga fusca,A rare vagrant,setophaga fusca,145237,Setophaga fusca,Blackburnian Warbler
Yellow Warbler,http://app.bto.org/birdfacts/results/bob17330.htm,Setophaga aestiva,Accidental,1-10 Records,,YLWWA,3.1622776601683795,setophaga aestiva,A rare vagrant,setophaga petechia,334294,Setophaga petechia aestiva,Northern Yellow Warbler
Chestnut-sided Warbler,http://app.bto.org/birdfacts/results/bob17340.htm,Setophaga pensylvanica,Accidental,1-10 Records,,,3.1622776601683795,setophaga pensylvanica,A rare vagrant,setophaga pensylvanica,145239,Setophaga pensylvanica,Chestnut-sided Warbler
Blackpoll Warbler,http://app.bto.org/birdfacts/results/bob17530.htm,Setophaga striata,Accidental,10 - 100 Records,,BLAWA,31.622776601683803,setophaga striata,A rare vagrant,setophaga striata,145240,Setophaga striata,Blackpoll Warbler
Yellow-rumped Warbler,http://app.bto.org/birdfacts/results/bob17510.htm,Setophaga coronata,Accidental,10 - 100 Records,,YERWA,31.622776601683803,setophaga coronata,A rare vagrant,setophaga coronata,145245,Setophaga coronata,Yellow-rumped Warbler
Wilson’s Warbler,http://app.bto.org/birdfacts/results/bob17720.htm,Cardellina pusilla,Accidental,1-10 Records,,,3.1622776601683795,cardellina pusilla,,,145276,Cardellina pusilla,Wilson's Warbler
Summer Tanager,http://app.bto.org/birdfacts/results/bob17860.htm,Piranga rubra,Accidental,1-10 Records,,SUMTA,3.1622776601683795,piranga rubra,A rare vagrant,piranga rubra,9915,Piranga rubra,Summer Tanager
Scarlet Tanager,http://app.bto.org/birdfacts/results/bob17880.htm,Piranga olivacea,Accidental,1-10 Records,,SCATA,3.1622776601683795,piranga olivacea,A rare vagrant,piranga olivacea,9921,Piranga olivacea,Scarlet Tanager
Rose-breasted Grosbeak,http://app.bto.org/birdfacts/results/bob18870.htm,Pheucticus ludovicianus,Accidental,10 - 100 Records,,ROBGR,31.622776601683803,pheucticus ludovicianus,A rare vagrant,pheucticus ludovicianus,10271,Pheucticus ludovicianus,Rose-breasted Grosbeak
Indigo Bunting,http://app.bto.org/birdfacts/results/bob18920.htm,Passerina cyanea,Accidental,1-10 Records,,INDBU,3.1622776601683795,passerina cyanea,A rare vagrant,passerina cyanea,10227,Passerina cyanea,Indigo Bunting
