run_id,instance_id,instance_type,logical_cpus,storage_target,storage_layout,ebs_throughput_mibps,operation,operation_label,variant,chart_series,phase,threads,effective_threads,sample_timestamp_utc,sample_index,elapsed_seconds,absolute_elapsed_seconds,cpu_total_percent,cpu_average_percent,host_cpu_percent,duckdb_thread_cpu_percent,raw_phase_name,phase_duration_seconds,status
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:08.054597+00:00,50,5.025,58.526,199.38,1.56,1.557656,3.115312,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:08.154949+00:00,51,5.125,58.626,249.03,1.95,1.945547,3.891094,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:08.255369+00:00,52,5.226,58.727,209.18,1.63,1.634219,3.268438,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:08.355701+00:00,53,5.326,58.827,209.51,1.64,1.636797,3.273594,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:08.456016+00:00,54,5.426,58.927,199.38,1.56,1.557656,3.115312,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:08.556337+00:00,55,5.527,59.028,209.35,1.64,1.635547,3.271094,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:08.656697+00:00,56,5.627,59.128,445.48,3.48,3.480313,6.960625,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:08.757078+00:00,57,5.727,59.228,209.35,1.64,1.635547,3.271094,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:08.857621+00:00,58,5.828,59.329,149.18,1.17,1.165469,2.330938,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:08.957976+00:00,59,5.928,59.429,99.53,0.78,0.777578,1.555156,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
